judul,tanggal,link
[SALAH] Rockefeller Foundation Telah Rencanakan Skenario Pandemi Covid-19 Sejak 2010,14 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-rockefeller-foundation-telah-rencanakan-skenario-pandemi-covid-19-sejak-2010
"Awas Hoaks Vaksin Astrazeneca, Pfizer, dan Moderna Berafiliasi dengan Bluetooth kecuali Sinovac",14 Agu 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-vaksin-astrazeneca-pfizer-dan-moderna-berafiliasi-dengan-bluetooth-kecuali-sinovac
Awas Hoaks: COVID-19 Bermutasi Menjadi Virus Baru yang Lebih Berbahaya dan Vaksinasi Timbulkan Varian Baru Virus COVID-19,12 Agu 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-covid-19-bermutasi-menjadi-virus-baru-yang-lebih-berbahaya-dan-vaksinasi-timbulkan-varian-baru-virus-covid-19
Awas Hoaks: Pandemi COVID-19 Sudah Diprediksi Sejak Tahun 2016,11 Agu 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-pandemi-covid-19-sudah-diprediksi-sejak-tahun-2016
"[SALAH] Virus Corona Katanya Ganas dan Mematikan, Tapi yang Mati Selalu di Rumah Sakit",10 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-virus-corona-katanya-ganas-dan-mematikan-tapi-yang-mati-selalu-di-rumah-sakit
Awas Hoaks: Tautan Pengecekan Penerima Bansos dengan NIK E-KTP,10 Agu 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-tautan-pengecekan-penerima-bansos-dengan-nik-e-ktp
[SALAH] Seluruh Objek Wisata di Kabupaten Pangandaran Telah Dibuka Kembali,09 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-seluruh-objek-wisata-di-kabupaten-pangandaran-telah-dibuka-kembali
[SALAH] Video Wawancara CEO Pfizer yang Menolak Divaksin pada Agustus 2021,09 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-video-wawancara-ceo-pfizer-yang-menolak-divaksin-pada-agustus-2021
"[SALAH] Vaksin Astrazeneca, Pfizer, dan Moderna Berafiliasi dengan Bluetooth kecuali Sinovac",09 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-vaksin-astrazeneca-pfizer-dan-moderna-berafiliasi-dengan-bluetooth-kecuali-sinovac
[SALAH] Covid-19 Bermutasi Menjadi Virus Baru yang Lebih Berbahaya dan Vaksinasi Timbulkan Virus Lain Dari Covid-19,08 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-covid-19-bermutasi-menjadi-virus-baru-yang-lebih-berbahaya-dan-vaksinasi-timbulkan-virus-lain-dari-covid-19
Awas Hoaks: COVID-19 singkatan dari Certification Of Vaccination Identification by Artificial Intelligence,08 Agu 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-covid-19-singkatan-dari-certification-vaccination-identification-artificial-intelligence
[SALAH] Dokumen Bank Dunia Tetapkan Covid-19 Sampai Tahun 2025,08 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-dokumen-bank-dunia-tetapkan-covid-19-sampai-tahun-2025
[SALAH] Tautan Pendaftaran Bantuan Sosial Sebesar Rp500.000 dari Kementerian Sosial,07 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-tautan-pendaftaran-bantuan-sosial-sebesar-rp500000-dari-kementerian-sosial
"[SALAH] “Vaksin Corona Tidak Terbukti Aman dan Efektif, Coronavirus Sama seperti Flu Biasa, Ini adalah Pandemi Palsu”",07 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-vaksin-corona-tidak-terbukti-aman-dan-efektif-coronavirus-sama-seperti-flu-biasa-ini-adalah-pandemi-palsu
"[SALAH] Semua Pasien Positif Covid-19 di New South Wales, Australia Sudah Divaksinasi",07 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-semua-pasien-positif-covid-19-di-new-south-wales-australia-sudah-divaksinasi
[SALAH] Link Pengecekan Penerima Bansos dengan NIK E-KTP,05 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-link-pengecekan-penerima-bansos-dengan-nik-e-ktp
[SALAH] Dukun Meninggal karena Covid-19 Setelah Menghirup Napas Pasien Covid-19,05 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-dukun-meninggal-karena-covid-19-setelah-menghirup-napas-pasien-covid-19
[SALAH] Jadwal Vaksinasi Massal di Royal Plaza Surabaya Tanggal 2-6 Agustus 2021,04 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-jadwal-vaksinasi-massal-di-royal-plaza-surabaya-tanggal-2-6-agustus-2021
[SALAH] SMS Bantuan BPJS Kesehatan Sebesar Rp78 Juta,04 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-sms-bantuan-bpjs-kesehatan-sebesar-rp78-juta
[SALAH] Foto Jadwal Perilisan Varian Covid-19,01 Agu 2021,https://covid19.go.id/p/hoax-buster/salah-foto-jadwal-perilisan-varian-covid-19
[SALAH] Pernyataan Moh Indro Cahyono “TERBONGKAR SUDAH!!! FAKTA COVID 19”,31 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-pernyataan-moh-indro-cahyono-terbongkar-sudah-fakta-covid-19
"[SALAH] “Tanggal pembuatan vaksin adalah 2018, setahun sebelum Covid-19 melanda”",31 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-tanggal-pembuatan-vaksin-adalah-2018-setahun-sebelum-covid-19-melanda
Awas Hoaks: Bisnis Swab Palsu di Dalam Bus,30 Jul 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-bisnis-swab-palsu-di-dalam-bus
[SALAH] Bantuan PPKM Rp1 Juta Bagi Pemilik Sertifikat Vaksinasi,30 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-bantuan-ppkm-rp1-juta-bagi-pemilik-sertifikat-vaksinasi
[SALAH] Daun Sungkai dapat Menangkal Covid-19,29 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-daun-sungkai-dapat-menangkal-covid-19
[SALAH] BNPB Membuka Donasi Kaos Oblong bagi Tenaga Medis dan Relawan Satgas Covid 19,29 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-bnpb-membuka-donasi-kaos-oblong-bagi-tenaga-medis-dan-relawan-satgas-covid-19
[SALAH] Video Kericuhan Terminal kota Lampung,29 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-kericuhan-terminal-kota-lampung
[SALAH] Data Pendonor Plasma Darah Konvalesen Area Jogja,29 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-data-pendonor-plasma-darah-konvalesen-area-jogja
[SALAH] “KITA BUKAN BODOH TAPI DIBODOHKAN KITA TIDAK MISKIN TAPI DIMISKIN OLEH SEBUAH SISTEM #PPKMLevel4Diperpanjang”,29 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-kita-bukan-bodoh-tapi-dibodohkan-kita-tidak-miskin-tapi-dimiskin-oleh-sebuah-sistem-ppkmlevel4diperpanjang
[SALAH] Orang yang Pernah Terinfeksi Covid-19 Memiliki Imunitas Lebih Baik Ketimbang yang Divaksin,28 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-orang-yang-pernah-terinfeksi-covid-19-memiliki-imunitas-lebih-baik-ketimbang-yang-divaksin
[SALAH] Air Keran Positif Covid-19,28 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-air-keran-positif-covid-19
[SALAH] Vaksin dengan Pfizer Dapat Menularkan Virus ke Orang yang Belum Divaksin,27 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-vaksin-dengan-pfizer-dapat-menularkan-virus-ke-orang-yang-belum-divaksin
[SALAH] Vaksin Mengandung Racun Berbahaya,26 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-vaksin-mengandung-racun-berbahaya
[SALAH] CNN Indonesia Menawarkan Hadiah agar Warga Bersedia Divaksin,25 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-cnn-indonesia-menawarkan-hadiah-agar-warga-bersedia-divaksin
[SALAH] Foto Beberapa Jenazah Covid-19 di Bekasi,25 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-foto-beberapa-jenazah-covid-19-di-bekasi
[SALAH] Mata Jenazah Covid-19 diambil tanpa Sepengetahuan Keluarga,25 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-mata-jenazah-covid-19-diambil-tanpa-sepengetahuan-keluarga
[SALAH] Video “PESTA MIRAS TKA CINA DI MASA PANDEMI”,25 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-pesta-miras-tka-cina-di-masa-pandemi
[SALAH] Video “pengurusan Covid di Indon”,24 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-pengurusan-covid-di-indon
[SALAH] Video Penangkapan Setelah Shalat Idul Adha di Bekasi,24 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-penangkapan-setelah-shalat-idul-adha-di-bekasi
Awas Hoaks: Tabung Selam Dapat Digunakan sebagai Pengganti Tabung Oksigen Medis,24 Jul 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-tabung-selam-dapat-digunakan-sebagai-pengganti-tabung-oksigen-medis
[SALAH] Foto Suasana Demo Anti-Vaksin di Prancis,23 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-foto-suasana-demo-anti-vaksin-di-prancis
[SALAH] Bantuan Subsidi Pulsa 250 ribu dan Kuota 75GB oleh Kemendikbud RI dengan Batas Akhir Agustus 2021,23 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-bantuan-subsidi-pulsa-250-ribu-dan-kuota-75gb-oleh-kemendikbud-ri-dengan-batas-akhir-agustus-2021
[SALAH] Video “Raja Thailand dan istrinya bersholawat agar Corona hilang dari dunia dan negeri ini. Subhanallah Amin”,23 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-raja-thailand-dan-istrinya-bersholawat-agar-corona-hilang-dari-dunia-dan-negeri-ini-subhanallah-amin
"[SALAH] Ketentuan Baru, Mau Buat KTP Harus Punya Sertifikat Vaksin",23 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-ketentuan-baru-mau-buat-ktp-harus-punya-sertifikat-vaksin
[SALAH] Video Pasar Jagasatru Cirebon Ricuh,23 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-pasar-jagasatru-cirebon-ricuh
[SALAH] Mata Pengemudi ditusuk hingga Buta oleh Petugas di Pos PPKM Padang,22 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-mata-pengemudi-ditusuk-hingga-buta-oleh-petugas-di-pos-ppkm-padang
[SALAH] “AKHIRNYA!! DUNIA SETUJUI VAKSIN NUSANTARA”,22 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-akhirnya-dunia-setujui-vaksin-nusantara
[SALAH] Campuran Lemon dan Soda Kue Dapat Membunuh Virus Corona,22 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-campuran-lemon-dan-soda-kue-dapat-membunuh-virus-corona
[SALAH] “Pemerintah Resmi Izinkan Sholat Idul Adha 1442H Berjamaah”,22 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-pemerintah-resmi-izinkan-sholat-idul-adha-1442h-berjamaah
[SALAH] Minuman Penambah Imun untuk Cegah Penularan Virus COVID-19,21 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-minuman-penambah-imun-untuk-cegah-penularan-virus-covid-19
"[SALAH] Video Kondisi Gibran “BERITA TERBARU HARI INI~ISTANA BANJIR TANGIS,VIRUS MENGGROGOTI TUBUHNYA HINGGA BEGINI~VIRAL NEWS JKW”",21 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-kondisi-gibran-berita-terbaru-hari-iniistana-banjir-tangisvirus-menggrogoti-tubuhnya-hingga-beginiviral-news-jkw
Awas Hoaks: 5 Orang Serumah Meninggal Bersama Setelah Divaksin,21 Jul 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-5-orang-serumah-meninggal-bersama-setelah-divaksin
"[SALAH] Singapura Negara Pertama yang Lakukan Otopsi Jenazah Covid-19, Sumber Kemenkes Singapura",20 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-singapura-negara-pertama-yang-lakukan-otopsi-jenazah-covid-19-sumber-kemenkes-singapura
[SALAH] Pernyataan “Semua orang yang divaksinasi akan mati dalam 2 tahun” oleh Luc Montagnier,20 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-pernyataan-semua-orang-yang-divaksinasi-akan-mati-dalam-2-tahun-oleh-luc-montagnier
[SALAH] Imbauan Lepas Masker Mulai Rabu 21 Juli 2021 oleh Bupati Jember,20 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-imbauan-lepas-masker-mulai-rabu-21-juli-2021-oleh-bupati-jember
[SALAH] “Semangkin Gawat Indonesia sekarang ini! Banyaknya Rumah Sakit Penerima Vaksin Palsu!”,19 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-semangkin-gawat-indonesia-sekarang-ini-banyaknya-rumah-sakit-penerima-vaksin-palsu
[SALAH] Nilai CT Pada Tes PCR Menentukan Kesembuhan Pasien Covid-19,19 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-nilai-ct-pada-tes-pcr-menentukan-kesembuhan-pasien-covid-19
[SALAH] Banyaknya Varian Covid-19 Muncul Setelah Vaksinasi Dilakukan,19 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-banyaknya-varian-covid-19-muncul-setelah-vaksinasi-dilakukan
[SALAH] Labu Kuning Kukus Dapat Sembuhkan Covid-19,19 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-labu-kuning-kukus-dapat-sembuhkan-covid-19
[SALAH] Chemtrails Penyebar Virus Penyakit Muncul di Langit Pantura,19 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-chemtrails-penyebar-virus-penyakit-muncul-di-langit-pantura
Awas Hoaks: Seorang Pria Tewas karena Makan Durian setelah Divaksin,19 Jul 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-seorang-pria-tewas-karena-makan-durian-setelah-divaksin
[SALAH] Foto Ajakan untuk Stop Upload Berita Covid-19 oleh Pemerintah Kabupaten Gresik,18 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-foto-ajakan-untuk-stop-upload-berita-covid-19-oleh-pemerintah-kabupaten-gresik
[SALAH] Tabung Selam Dapat Digunakan sebagai Pengganti Tabung Oksigen Medis,18 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-tabung-selam-dapat-digunakan-sebagai-pengganti-tabung-oksigen-medis
"[SALAH] Video “Di Probolinggo, 16 Juli 2021 Meninggal bersama 5 orang serumah setelah di vaksin”",18 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-di-probolinggo-16-juli-2021-meninggal-bersama-5-orang-serumah-setelah-di-vaksin
[SALAH] Video “Potensi Bahaya Vaksin COVID-19”,17 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-potensi-bahaya-vaksin-covid-19
[SALAH] “baru perjalanan AS ke Indonesia sudah susut 1 juta”,17 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-baru-perjalanan-ke-indonesia-sudah-susut-1-juta
[SALAH] Air Keran Dapat Positif Covid-19 Setelah Ditest Menggunakan Device Rapid Test Antigen,17 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-air-keran-dapat-positif-covid-19-setelah-ditest-menggunakan-device-rapid-test-antigen
[SALAH] Daun Teh Pinus Putih hentikan bahaya Vaksin Covid-19,17 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-daun-teh-pinus-putih-hentikan-bahaya-vaksin-covid-19
"Awas Hoaks: Racikan Air Kelapa Muda, Jeruk Nipis, Garam, dan Madu dapat Membunuh Virus COVID-19",17 Jul 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-racikan-air-kelapa-muda-jeruk-nipis-garam-dan-madu-dapat-membunuh-virus-covid-19
[SALAH] “Tidak ada mesjid yang akan ditutup di Turki dari ancaman virus corona”,16 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-tidak-ada-mesjid-yang-akan-ditutup-di-turki-dari-ancaman-virus-corona
[SALAH] Video Rombongan WNA di Bandara Soekarno-Hatta,16 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-rombongan-wna-di-bandara-soekarno-hatta
Awas Hoaks: Penyebab Kematian Pasien Covid-19 Bukan karena Virus Corona,16 Jul 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-penyebab-kematian-pasien-covid-19-bukan-karena-virus-corona
[SALAH] Foto Akting Plandemi Kantong Mayat Palsu di India,15 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-foto-akting-plandemi-kantong-mayat-palsu-di-india
[SALAH] Berkumur dengan Air Garam dan Meminum Air Hangat Dapat Membunuh Virus Corona di Dalam Perut,15 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-berkumur-dengan-air-garam-dan-meminum-air-hangat-dapat-membunuh-virus-corona-di-dalam-perut
[SALAH] Video “Mereka menguburkan Peti Mati yg kosong untuk menakut2i rakyat”,15 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-mereka-menguburkan-peti-mati-yg-kosong-untuk-menakut2i-rakyat
"[SALAH] Cuci Hidung dengan NaCl 0,9% dapat Menghilangkan Virus dan Bakteri di Lubang Hidung",14 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-cuci-hidung-dengan-nacl-09-dapat-menghilangkan-virus-dan-bakteri-di-lubang-hidung
[SALAH] Detektor Radiasi Elektromagnetik dapat Mendeteksi Radiasi dari Vaksin Covid-19,14 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-detektor-radiasi-elektromagnetik-dapat-mendeteksi-radiasi-dari-vaksin-covid-19
Awas Hoaks: SPBU Tutup Sementara dari 12 sampai 17 Juli 2021,14 Jul 2021,https://covid19.go.id/p/hoax-buster/awas-hoaks-spbu-tutup-sementara-dari-12-sampai-17-juli-2021
"[SALAH] Video “Mesjid ditutup sementara, KATEDRAL BUKA UNTUK IBADAH MINGGU. rezim kurang ajar”",13 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-mesjid-ditutup-sementara-katedral-buka-untuk-ibadah-minggu-rezim-kurang-ajar
[SALAH] Video Akting Plandemi Jenazah Pasien Covid-19 dapat Bergerak,13 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-video-akting-plandemi-jenazah-pasien-covid-19-dapat-bergerak
[SALAH] Relawan Siaga Meluncurkan Program Pengisian Oksigen Gratis,12 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-relawan-siaga-meluncurkan-program-pengisian-oksigen-gratis
"[SALAH] Racikan Air Kelapa Muda, Jeruk Nipis, Garam, dan Madu dapat Membunuh Virus Covid-19",12 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-racikan-air-kelapa-muda-jeruk-nipis-garam-dan-madu-dapat-membunuh-virus-covid-19
[SALAH] Seorang Pria Tewas karena Makan Durian setelah Divaksin,12 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-seorang-pria-tewas-karena-makan-durian-setelah-divaksin
[SALAH] FDA Amerika Sebut Invermectin Dapat Digunakan Untuk Sembuhkan Covid-19,12 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-fda-amerika-sebut-invermectin-dapat-digunakan-untuk-sembuhkan-covid-19
[SALAH] SPBU Tutup Sementara dari 12 sampai 17 Juli 2021,11 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-spbu-tutup-sementara-dari-12-sampai-17-juli-2021
[SALAH] Air Rebusan Bawang Putih Dapat Menyembuhkan Covid,10 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-air-rebusan-bawang-putih-dapat-menyembuhkan-covid
[SALAH] “Gubernur Sumut Instruksikan Seluruh Masjid Buka Pintu Untuk Orang Ibadah”,09 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-gubernur-sumut-instruksikan-seluruh-masjid-buka-pintu-untuk-orang-ibadah
[SALAH] “Varian baru Covid-19 tidak lain dari infeksi protein spike dari vaksin”,09 Jul 2021,https://covid19.go.id/p/hoax-buster/salah-varian-baru-covid-19-tidak-lain-dari-infeksi-protein-spike-dari-vaksin
